Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_MRP2
1,9.3,0,0.016047301,4,249.8092,9,1999,1,0,1,3735.138,3
0,5.92,1,0.019278216,14,48.2692,3,2009,1,2,2,443.4228,0
1,17.5,0,0.016760075,10,141.618,9,1999,1,0,1,2097.27,2
1,13.65,1,0.012741089,13,57.6588,1,1987,0,2,1,343.5528,0
1,12.6,0,0.127469857,13,107.7622,5,1985,1,2,3,4022.7636,1
1,16.2,1,0.016687114,5,96.9726,7,2002,1,1,1,1076.5986,1
1,19.2,1,0.09444959,5,187.8214,2,2007,1,1,1,4710.535,2
1,18.5,1,0.045463773,4,144.1102,8,1997,2,0,1,2187.153,2
1,15.1,1,0.1000135,6,145.4786,9,1999,1,0,1,1589.2646,2
1,17.6,1,0.047257328,13,119.6782,8,1997,2,0,1,2145.2076,1
1,16.35,0,0.0680243,6,196.4426,1,1987,0,2,1,1977.426,2
1,9.0,1,0.069088961,2,56.3614,8,1997,2,0,1,1547.3192,0
2,11.8,0,0.008596051,8,115.3492,3,2009,1,2,2,1621.8888,1
1,9.0,1,0.069196376,2,54.3614,9,1999,1,0,1,718.3982,0
0,12.6,0,0.034237682,7,113.2834,5,1985,1,2,3,2303.668,1
1,13.35,0,0.10249212,4,230.5352,6,2004,2,1,1,2748.4224,3
1,18.85,1,0.138190277,13,250.8724,1,1987,0,2,1,3775.086,3
1,12.6,1,0.035399923,0,144.5444,5,1985,1,2,3,4064.0432,2
2,14.6,0,0.025698134,9,196.5084,6,2004,2,1,1,1587.2672,2
1,12.6,0,0.057556998,0,107.6938,4,1985,2,0,0,214.3876,1
1,13.85,1,0.025896485,5,165.021,8,1997,2,0,1,4078.025,2
2,13.0,0,0.099887103,9,45.906,2,2007,1,1,1,838.908,0
1,7.645,1,0.066693437,13,42.3112,6,2004,2,1,1,1065.28,0
0,11.65,0,0.019356132,7,39.1164,1,1987,0,2,1,308.9312,0
1,5.925,1,0.161466534,4,45.5086,0,1998,2,2,0,178.4344,0
1,12.6,1,0.072221801,3,43.6454,4,1985,2,0,0,125.8362,0
1,19.25,0,0.170348551,4,55.7956,0,1998,2,2,0,163.7868,0
2,18.6,0,0.080829372,8,96.4436,3,2009,1,2,2,2741.7644,1
0,17.5,0,0.097904029,14,174.8738,8,1997,2,0,1,2085.2856,2
