iter	RMSE
0	1495.626644
1	1422.6788
2	1358.635378
3	1303.415714
4	1256.343572
5	1214.985394
6	1181.245682
7	1155.999656
8	1130.546116
9	1110.239176
10	1093.029813
11	1078.842789
12	1067.309511
13	1056.804027
14	1048.061502
15	1041.587029
16	1036.193823
17	1030.498992
18	1025.635394
19	1021.984709
20	1019.846943
21	1016.477313
22	1014.288354
23	1012.226291
24	1010.38477
25	1009.197272
26	1007.614218
27	1007.211419
28	1005.796456
29	1004.545418
30	1003.988444
31	1002.860409
32	1001.85213
33	1001.369767
34	1000.64669
35	999.8528953
36	998.8116503
37	998.0855331
38	996.762365
39	996.0921457
40	995.48109
41	995.0661391
42	994.1484971
43	993.5612468
44	992.7115245
45	992.0586061
46	991.699827
47	990.6715991
48	990.1480067
49	988.8533167
50	987.5293894
51	987.1925965
52	985.8365207
53	985.2583968
54	985.1334398
55	984.361574
56	984.0863058
57	983.4603075
58	983.1198692
59	982.3365822
60	981.7158634
61	981.4742666
62	980.9935253
63	980.520492
64	980.1151051
65	979.598924
66	979.1901423
67	978.9969983
68	978.5197767
69	978.2401192
70	976.9036041
71	976.8785981
72	976.4948952
73	975.764871
74	975.3664956
75	974.3261856
76	973.9569787
77	973.2005858
78	972.5475543
79	972.2143567
80	971.4785276
81	971.2024515
82	970.9557999
83	970.2805874
84	969.5972515
85	968.7718472
86	968.2063695
87	967.6433497
88	966.7871319
89	966.0853756
90	965.8229907
91	965.565278
92	965.2243856
93	964.7736368
94	963.8141055
95	963.1681949
96	962.5447249
97	961.5433248
98	960.9869397
99	960.2435585
