iter	Passed	Remaining
0	3	382
1	7	363
2	10	341
3	13	316
4	15	301
5	18	292
6	21	286
7	24	279
8	27	273
9	29	268
10	32	263
11	35	258
12	38	254
13	40	249
14	43	247
15	46	244
16	49	240
17	52	240
18	55	237
19	58	233
20	60	227
21	63	223
22	65	220
23	68	217
24	71	213
25	74	210
26	76	207
27	78	201
28	81	198
29	83	195
30	86	192
31	89	189
32	91	186
33	94	182
34	96	179
35	99	177
36	102	174
37	104	171
38	107	168
39	110	165
40	113	162
41	115	159
42	118	156
43	120	153
44	123	151
45	126	148
46	128	145
47	131	142
48	134	139
49	136	136
50	139	134
51	142	131
52	144	128
53	147	125
54	149	122
55	152	119
56	154	116
57	157	113
58	160	111
59	162	108
60	165	105
61	168	102
62	170	100
63	173	97
64	176	94
65	178	92
66	181	89
67	183	86
68	186	83
69	190	81
70	193	79
71	195	76
72	198	73
73	201	70
74	204	68
75	207	65
76	211	63
77	214	60
78	216	57
79	220	55
80	222	52
81	225	49
82	228	46
83	230	43
84	233	41
85	236	38
86	239	35
87	241	32
88	244	30
89	247	27
90	250	24
91	252	21
92	255	19
93	257	16
94	260	13
95	263	10
96	265	8
97	268	5
98	271	2
99	273	0
